# 02/20/2021, 21:33:11 
# resultsAmadou 

# Visualization data
# time unit: min
# channels unit: MOhm


Time	ch1
  146.0000	   11.7561
  146.5000	   11.8088
  147.0000	   11.8439
  147.5000	   11.9275
  148.0000	   11.9552
  148.5000	   11.9996
  149.0000	   12.0348
  149.5000	   12.0839
  150.0000	   12.0703
  150.5000	    7.5624
  151.0000	    6.5873
  151.5000	    6.0862
  152.0000	    5.7396
  152.5000	    5.4882
  153.0000	    5.2780
  153.5000	    5.1210
  154.0000	    4.9751
  154.5000	    4.8577
  155.0000	    4.7563
  155.5000	    4.6674
  156.0000	    4.5859
  156.5000	    4.5101
  157.0000	    4.4352
  157.5000	    4.3738
  158.0000	    4.3101
  158.5000	    4.2604
  159.0000	    4.2143
  159.5000	    4.1598
  160.0000	    4.1158
  160.5000	    4.0813
  161.0000	    4.0348
  161.5000	    3.9994
  162.0000	    3.9665
  162.5000	    3.9321
  163.0000	    3.8992
  163.5000	    3.8628
  164.0000	    3.8328
  164.5000	    3.8085
  165.0000	    3.7848
  165.5000	    3.7547
  166.0000	    3.7275
  166.5000	    3.7089
  167.0000	    3.6849
  167.5000	    3.6645
  168.0000	    3.6434
  168.5000	    3.6158
  169.0000	    3.5981
  169.5000	    3.5810
  170.0000	    3.5622
  170.5000	    3.5431
  171.0000	    3.5244
  171.5000	    3.5108
  172.0000	    3.4934
  172.5000	    3.4740
  173.0000	    3.4546
  173.5000	    3.4418
  174.0000	    3.4241
  174.5000	    3.4114
  175.0000	    3.4034
  175.5000	    3.3834
  176.0000	    3.3722
  176.5000	    3.3576
  177.0000	    3.3449
  177.5000	    3.3319
  178.0000	    3.3218
  178.5000	    3.3126
  179.0000	    3.2954
  179.5000	    3.2880
  180.0000	    3.2720
  180.5000	    3.2648
  181.0000	    3.2528
  181.5000	    3.2446
  182.0000	    3.2303
  182.5000	    3.2214
  183.0000	    3.2163
  183.5000	    3.2054
  184.0000	    3.1910
  184.5000	    3.1871
  185.0000	    3.1753
  185.5000	    3.1646
  186.0000	    3.1568
  186.5000	    3.1493
  187.0000	    3.1421
  187.5000	    3.1348
  188.0000	    3.1217
  188.5000	    3.1154
  189.0000	    3.1111
  189.5000	    3.1015
  190.0000	    3.0894
  190.5000	    3.0830
  191.0000	    3.0800
  191.5000	    3.0731
  192.0000	    3.0599
  192.5000	    3.0547
  193.0000	    3.0473
  193.5000	    3.0431
  194.0000	    3.0375
  194.5000	    3.0264
  195.0000	    3.0231
  195.5000	    9.6211
  196.0000	   11.0522
  196.5000	   11.9569
  197.0000	   12.3576
  197.5000	   12.7020
  198.0000	   12.9270
  198.5000	   13.1347
  199.0000	   13.2718
  199.5000	   13.4546
