# 02/18/2021, 12:46:38 
# rGO-based sensors 

# Normalization data
# time unit: min
# normalization point: 50.0 min


Time	ch1 norm	ch2 norm	ch3 norm	ch4 norm
124.0000000	 0.8335776	 0.8391452	 0.8152695	 0.8635938
125.0000000	 0.8473891	 0.8505380	 0.8248413	 0.8846946
126.0000000	 0.8594306	 0.8603486	 0.8335815	 0.9020666
127.0000000	 0.8696333	 0.8695887	 0.8413018	 0.9167083
128.0000000	 0.8786375	 0.8772452	 0.8484779	 0.9278563
129.0000000	 0.8868450	 0.8848712	 0.8550617	 0.9392849
130.0000000	 0.8938653	 0.8911119	 0.8611976	 0.9484335
131.0000000	 0.9004769	 0.8969512	 0.8670121	 0.9558382
132.0000000	 0.9061933	 0.9022394	 0.8721941	 0.9622462
133.0000000	 0.9114501	 0.9065296	 0.8771998	 0.9687855
134.0000000	 0.9165291	 0.9121178	 0.8819398	 0.9741781
135.0000000	 0.9209140	 0.9163543	 0.8862690	 0.9779587
136.0000000	 0.9248816	 0.9202600	 0.8903920	 0.9817404
137.0000000	 0.9284777	 0.9230105	 0.8943213	 0.9859266
138.0000000	 0.9318755	 0.9267304	 0.8980295	 0.9891756
139.0000000	 0.9351715	 0.9290408	 0.9013366	 0.9912068
140.0000000	 0.9381189	 0.9328709	 0.9047127	 0.9933614
141.0000000	 0.9407208	 0.9355024	 0.9077015	 0.9957011
142.0000000	 0.9429346	 0.9379645	 0.9109319	 0.9974836
143.0000000	 0.9455063	 0.9399292	 0.9136599	 0.9986045
144.0000000	 0.9476485	 0.9425967	 0.9161589	 1.0000825
145.0000000	 0.9497437	 0.9453560	 0.9187855	 1.0018158
146.0000000	 0.9519310	 0.9475251	 0.9215678	 1.0023853
147.0000000	 0.9540014	 0.9491055	 0.9237800	 1.0029315
148.0000000	 0.9558027	 0.9508678	 0.9261342	 1.0041930
149.0000000	 0.9578340	 0.9526953	 0.9284166	 1.0050909
150.0000000	 0.9590267	 0.9538639	 0.9306316	 1.0051966
151.0000000	 0.9609346	 0.9560655	 0.9324479	 1.0057289
152.0000000	 0.9620708	 0.9574573	 0.9345766	 1.0069202
153.0000000	 0.9632913	 0.9584305	 0.9364024	 1.0068996
154.0000000	 0.9646029	 0.9599698	 0.9380410	 1.0067247
155.0000000	 0.9658828	 0.9612995	 0.9401053	 1.0075684
156.0000000	 0.9668058	 0.9627774	 0.9414803	 1.0078886
157.0000000	 0.9679037	 0.9637303	 0.9430369	 1.0074012
158.0000000	 0.9691181	 0.9645215	 0.9445892	 1.0076650
159.0000000	 0.9699000	 0.9666850	 0.9460579	 1.0082640
160.0000000	 0.9705325	 0.9672999	 0.9476057	 1.0083583
161.0000000	 0.9712925	 0.9669945	 0.9487208	 1.0084808
162.0000000	 0.9719491	 0.9686053	 0.9499738	 1.0086619
163.0000000	 0.9727359	 0.9701596	 0.9514066	 1.0090810
164.0000000	 0.9732540	 0.9706311	 0.9527467	 1.0083409
165.0000000	 0.9740157	 0.9709335	 0.9537661	 1.0084037
166.0000000	 0.9743454	 0.9729033	 0.9546399	 1.0092374
167.0000000	 0.9747822	 0.9734088	 0.9556659	 1.0082044
168.0000000	 0.9752151	 0.9743325	 0.9568120	 1.0081272
169.0000000	 0.9757086	 0.9742930	 0.9579379	 1.0087740
170.0000000	 0.9760456	 0.9753819	 0.9589159	 1.0084968
171.0000000	 0.8399635	 0.8643311	 0.8707232	 0.7652492
172.0000000	 0.7727973	 0.8033216	 0.8081509	 0.7010154
