2250	38320.5195	626572.688	1139088.25	28399.916	368690.844	543007.812
2280	38478.9062	627735.625	1142564	28503.6582	368609.469	541641.125
2310	38635.5937	627927.313	1137533.88	28608.8203	368591.625	540248.437
2340	38791.9687	613164.188	1131280.25	28709.8262	368646.5	539032.688
2370	38954.5742	627255.375	1137004.62	28816.9414	368507.406	537783
2400	39111.1641	612540	1137321.5	28926.4551	368575.437	536671.813
2430	39272.6289	610843.312	1141959.38	29030.332	368546.469	535304.187
2460	39432.3789	611084.937	1131724.87	29137.9277	368551.719	534242.062
2490	39584.7148	612912.313	1133565.37	29251.0762	368587.031	532951.313
2520	39749.3516	613133.313	1134624.5	29359.1992	368326.719	532032.625
2550	39912.9766	612986.687	1126552.25	29471.2754	368257.969	531204.188
2580	40067.4492	612946.5	1130165.88	29583.7188	368257.688	529906.125
2610	40225.9922	612426.125	1124491.75	29695.6152	368238.688	528519.25
2640	40390.3516	612892.688	1127648.75	29808.3867	368291.938	527471.25
2670	40551.7617	613341.375	1129072.75	29922.8984	368143.375	526494.937
2700	40706.9844	614028.375	1124185.25	30037.6426	368233.063	525529.562
2730	40864.8008	614939.812	1123108.37	30154.1836	368231.25	524826.625
2760	41029.3125	616073.437	1123198.13	30268.125	368221.969	524039.469
2790	41183.4609	615079.625	1126312.5	30384.8125	368181.594	523474.094
2820	41341.7031	614901.812	1121120.13	30500.916	368129.906	523121.313
2850	41503.1758	616316.625	1126606.25	30618.0332	368094.187	522539.75
2880	41662.5625	614551.125	1120139.25	30735.1172	368003.063	522014.625
2910	41821.6406	614447.938	1118236	30857.3613	367988.531	521343.719
2940	41978.8203	614053.437	1117333.75	30971.9453	368032.844	520991.781
2970	42135.0547	612835.062	1121243.5	31092.0547	368128.781	520688.969
3000	42292.5234	615197.188	1121936.88	31214.1445	368027.031	520006.375
3030	42454.5313	614647.938	1116203.75	31328.1934	367966.5	519774.781
3060	42612.5742	614971.063	1111560.5	31447.2891	368014.531	519370
3090	42763.2969	615231.25	1109092.25	31569.7832	367947	518878.188
3120	42916.0117	614491.625	1118281.12	31684.3379	368088.344	518609.781
3150	43079.6133	617324.875	1110856.12	31804.2695	368087.156	518195.406
3180	43231.4609	617326.063	1104966.63	31924	367941.813	518445.219
3210	43381.5391	618482.938	1114529.75	32042.1367	368098.344	518377.781
3240	43537.6445	619216.5	1112343.87	32159.5098	368111.406	518505.219
3270	43695.7109	616149.438	1114326.75	32281.1387	368037.719	518708.281
3300	43847.0273	617053.187	1115703.62	32401.7695	367947.031	519046
3330	43995.1875	618984.25	1112860.63	32519.6934	368055.938	519433.75
